product_id,category,subcategory,brand,launch_date,is_active
PROD_001,Electronics,Phones,BrandB,2020-06-01,true
PROD_002,Electronics,Phones,BrandB,2021-05-06,true
PROD_003,Electronics,Phones,BrandA,2021-01-10,false
PROD_004,Electronics,Laptops,BrandB,2021-08-03,false
PROD_005,Electronics,Laptops,BrandE,2020-06-02,true
PROD_006,Electronics,Laptops,BrandD,2022-02-04,true
PROD_007,Electronics,Tablets,BrandD,2020-06-20,true
PROD_008,Electronics,Tablets,BrandA,2022-04-18,true
PROD_009,Electronics,Tablets,BrandC,2021-01-31,true
PROD_010,Electronics,Accessories,BrandD,2022-03-26,false
PROD_011,Electronics,Accessories,BrandE,2022-07-29,true
PROD_012,Electronics,Accessories,BrandC,2022-04-27,false
PROD_013,Clothing,Men,BrandC,2021-09-09,true
PROD_014,Clothing,Men,BrandA,2022-08-18,false
PROD_015,Clothing,Men,BrandC,2020-07-24,false
PROD_016,Clothing,Women,BrandD,2021-04-24,false
PROD_017,Clothing,Women,BrandE,2020-12-10,true
PROD_018,Clothing,Women,BrandB,2021-11-05,true
PROD_019,Clothing,Kids,BrandE,2021-06-02,true
PROD_020,Clothing,Kids,BrandD,2022-05-28,true
PROD_021,Clothing,Kids,BrandC,2020-06-10,false
PROD_022,Clothing,Sportswear,BrandD,2021-05-18,false
PROD_023,Clothing,Sportswear,BrandD,2020-06-14,false
PROD_024,Clothing,Sportswear,BrandD,2021-06-24,true
PROD_025,Food,Beverages,BrandA,2021-12-05,true
PROD_026,Food,Beverages,BrandE,2020-02-26,false
PROD_027,Food,Beverages,BrandC,2020-11-03,true
PROD_028,Food,Snacks,BrandE,2020-07-31,false
PROD_029,Food,Snacks,BrandB,2021-09-18,true
PROD_030,Food,Snacks,BrandD,2022-02-06,false
PROD_031,Food,Dairy,BrandB,2020-01-26,false
PROD_032,Food,Dairy,BrandB,2021-12-11,true
PROD_033,Food,Dairy,BrandA,2021-02-03,false
PROD_034,Food,Frozen,BrandC,2020-12-09,true
PROD_035,Food,Frozen,BrandD,2020-11-05,true
PROD_036,Food,Frozen,BrandC,2021-08-13,false
PROD_037,Home,Furniture,BrandC,2021-09-06,false
PROD_038,Home,Furniture,BrandD,2022-01-24,false
PROD_039,Home,Furniture,BrandD,2020-04-18,true
PROD_040,Home,Decor,BrandB,2020-11-24,false
PROD_041,Home,Decor,BrandD,2020-10-15,true
PROD_042,Home,Decor,BrandA,2021-05-23,false
PROD_043,Home,Kitchen,BrandB,2022-03-22,false
PROD_044,Home,Kitchen,BrandC,2020-11-01,true
PROD_045,Home,Kitchen,BrandA,2020-01-30,true
PROD_046,Home,Bathroom,BrandA,2021-12-22,true
PROD_047,Home,Bathroom,BrandD,2022-03-08,true
PROD_048,Home,Bathroom,BrandD,2021-06-18,false
PROD_049,Books,Fiction,BrandC,2022-07-23,true
PROD_050,Books,Fiction,BrandD,2020-06-28,false
